age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,lifestyle_change
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
2,0,7,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
1,1,5,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,1,2,0
5,1,7,9,9,0.5,2,4,-1.0,0.0,0.5,0.5,-0.5,0.0,1100,1,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
1,1,5,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,0,0,0
0,1,5,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,0,2,0
1,1,5,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,0,2,0
0,1,5,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,0,2,0
3,1,7,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,0,2,0
1,1,5,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,0,2,0
1,1,5,7,7,1.5,3,1,0.0,1.0,0.5,0.0,-1.0,-0.5,100,1111,0,2,0
1,0,5,7,7,1.5,2,2,0.0,0.0,0.0,0.0,0.5,0.0,1010,1000,0,2,0
1,1,5,7,7,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,0.0,1110,1111,1,2,0
1,1,5,7,4,0.5,2,1,0.0,-0.5,0.5,0.5,0.0,0.5,1100,1101,0,0,0
1,1,5,5,9,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1100,1011,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
1,1,5,7,7,1.5,3,1,0.0,1.0,0.5,0.0,-1.0,-0.5,100,1111,0,2,0
1,0,5,7,7,1.5,2,2,0.0,0.0,0.0,0.0,0.5,0.0,1010,1000,0,2,0
1,1,5,7,7,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,0.0,1110,1111,1,2,0
1,1,5,7,4,0.5,2,1,0.0,-0.5,0.5,0.5,0.0,0.5,1100,1101,0,0,0
1,1,5,5,9,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1100,1011,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
1,1,5,7,7,1.5,3,1,0.0,1.0,0.5,0.0,-1.0,-0.5,100,1111,0,2,0
1,0,5,7,7,1.5,2,2,0.0,0.0,0.0,0.0,0.5,0.0,1010,1000,0,2,0
1,1,5,7,7,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,0.0,1110,1111,1,2,0
1,1,5,7,4,0.5,2,1,0.0,-0.5,0.5,0.5,0.0,0.5,1100,1101,0,0,0
1,1,5,5,9,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1100,1011,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,1,7,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,0,1,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,0,3,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,0,0,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
